Product Title,Price,Brand,Operating System,RAM,CPU Model,CPU Speed,Memory Storage,Screen Size,Resolution,Model Name,Wireless Carrier,URL
"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Blue Black",$174.99,Samsung,"Android 14, One UI",4 GB,Others,2.4 GHz,128 GB,6.7 Inches,1880 x 2340,Galaxy A16,Unlocked for All Carriers,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Charging-Expandable/dp/B0DLHNWHRF/ref=sr_1_1
"Samsung Galaxy S25 Ultra, 512GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon 8 Elite Fast Processor, 5000mAh Battery, Built-in S Pen, 2025, US 1 Yr Warranty, Titanium Black","$1,219.99",Samsung,"One UI 7, Android 15",12 GB,Snapdragon,3.5 GHz,512 GB,6.9 Inches,2560 x 1440,Samsung Galaxy S25 Ultra,Unlocked for All Carriers,https://www.amazon.com/Smartphone-Unlocked-Processor-Manufacturer-Warranty/dp/B0DP3G4GVQ/ref=sr_1_2
Motorola Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,$163.83,Motorola,Android 14,4 GB,Others,"1.8, 2.0 GHz",128 GB,6.6 Inches,1612x720,Moto G 5G 2024,,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Green/dp/B0CWHXVLXG/ref=sr_1_3
Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,$39.88,TracFone,Android 13.0,4 GB,,,4 GB,6.53 Inches,1600 x 720 pixels,Moto G Play,Tracfone,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_4
"Samsung Galaxy A36 5G A Series, 128GB Unlocked Android Smartphone, AMOLED Display, Rugged Design, 5G Connectivity, Affordable Performance, US Version, 2025, US 1 Yr Warranty, Awesome Lavender",$391.83,Samsung,"ONE UI 6.0, Android 14",6 GB,Snapdragon,,128 GB,6.6 Inches,,Galaxy A36,Unlocked for All Carriers,https://www.amazon.com/A36-Unlocked-Smartphone-Manufacturer-Warranty/dp/B0DXHKH86B/ref=sr_1_5
Reno 11 Pro 8GB+256GB Unlocked Android Phone 50MP+13MP Unlocked Cell Phone 6000 mAh Large Battery Camera Smartphone 4G Dual SIM (Jade Green),$99.99,XUANMEIKE,,,,,,,,,,https://www.amazon.com/Reno-11-Pro-Unlocked-Smartphone/dp/B0DYJSM5WP/ref=sr_1_6
"TCL 60 XE NXTPAPER 5G Cell Phone, 256GB Unlocked Android Smartphone, 6.8"" 120Hz Paper-Like Display, AI Features, 5010mAh Battery, 8GB RAM + 8GB Expansion, Advanced Camera System, Space Blue",$262.19,TCL,Android 15,8 GB,,2.4 GHz,256 GB,6.8 Inches,1080 x 2460,TCL Cell Phone,Unlocked,https://www.amazon.com/TCL-NXTPAPER-Smartphone-Paper-Like-Expansion/dp/B0F62PFJGN/ref=sr_1_7
"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",$131.99,Samsung,Android,4 GB,MediaTek Helio,2 GHz,128 GB,6.7 Inches,1080 x 2340,Samsung Galaxy A16,Unlocked,https://www.amazon.com/SAMSUNG-International-SM-A165F-DS-Unlocked/dp/B0DT4T8D65/ref=sr_1_8
"SAMSUNG Galaxy A05 (128GB, 4GB) 6.7"" Dual SIM GSM Unlocked Global 4G LTE A055M/DS (Light Green)",$109.50,Samsung,Android 13.0,4 GB,MediaTek Helio,2 GHz,128 GB,6.7 Inches,720 x 1600,Galaxy A05,Unlocked,https://www.amazon.com/SAMSUNG-Galaxy-A05-Unlocked-Global/dp/B0CRSLXF34/ref=sr_1_9
"Cheap Mobile Phones, 5.0"" IPS Display, Android 9.0, Dual SIM Dual Camera, Quad Core, 16GB ROM【Expandable up to 128GB】, Support WiFi/Bluetooth/FM, Face Unlocked Phones (Reno9pro-Black)",$49.99,TalkCeLL,Android 9.0,1 GB,,,16 GB,5 Inches,,TalkCeLL Reno9pro,T-Mobile,https://www.amazon.com/Display-ROM%E3%80%90Expandable-Bluetooth-Unlocked-Reno9pro-Black/dp/B0DPQ9Z7DW/ref=sr_1_10
"AMSUNG Galaxy A16 5G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Water Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A166M/DS Blue Black",$147.67,Samsung,"Android 14, One UI",4 GB,MediaTek Helio,2.03 GHz,4 GB,6.7 Inches,1080 x 2340,Galaxy A16,Unlocked for All Carriers,https://www.amazon.com/AMSUNG-Resistant-Factory-Unlocked-International/dp/B0DT1KMCXP/ref=sr_1_11
"Samsung Galaxy Z Fold 6, 512GB Unlocked Android Smartphone, Circle to Search, Hands-Free Interpreter, AI Photo Edits, Foldable Display for Multitasking, 2024, US 1 Yr Warranty, Pink","$1,619.99",Samsung,"OneUI 6.1, Android 14",12 GB,,3.4 GHz,512 GB,7.6 Inches,,Galaxy Z Fold6,Unlocked for All Carriers,https://www.amazon.com/SAMSUNG-Smartphone-Handsfree-Interpreter-Manufacturer/dp/B0D192ZJ98/ref=sr_1_12
Nokia 105 4G | Dual SIM | GSM Unlocked Mobile Phone | Volte | Charcoal | International Version | Not AT&T/Cricket/Verizon Compatible,$34.99,Nokia,S30+​,128 MB,,,128 MB,1.8 Inches,160 x 120,105 4G,Unlocked,https://www.amazon.com/Nokia-Unlocked-Charcoal-International-Compatible/dp/B0D1DN7HMG/ref=sr_1_13
